"","logFC","FDR"
"AT2G46150",1.07471870879259,0.00758355448467603
"AT1G49210",2.11443458923931,0.0078714374838337
"AT1G02400",1.14451600004367,0.00789018257795876
"AT1G16510",1.12544355390767,0.00806091993638738
"AT2G04795",1.281696756969,0.00863445508387724
"AT5G43040",1.37376964134608,0.00874954120292771
"AT5G33370",-1.15231359667559,0.00896686835221276
"AT1G11070",1.20783848444348,0.00899140451197618
"AT2G33880",-1.59082706288381,0.00899140451197618
"AT3G60160",-1.12629368573713,0.00899140451197618
"AT4G22505",2.13819513964263,0.00914794688799546
"AT5G06510",-1.25389629795638,0.00914794688799546
"AT5G27220",-1.36487458652355,0.00975579172622211
"AT3G53800",1.20033368810842,0.00980530891052563
"AT1G29280",1.07804298408527,0.0100945490557784
"AT1G74660",1.4300615117799,0.0108029990291913
"AT1G09155",1.49642266612956,0.0110045972942666
"AT1G78440",1.27909593471686,0.0111031381913604
"AT1G29440",1.15353634640731,0.0112752852819142
"AT3G14060",1.0141735614364,0.0113610814098821
"AT2G42990",-2.61759514580465,0.0114096572019368
"AT2G25260",-1.38763990957127,0.0116126175569467
"AT1G69600",-1.00563054441734,0.0117491133860008
"AT4G20460",1.01610741283361,0.0117491133860008
"AT5G13320",-1.68835605645889,0.0117901105110201
"AT2G40435",-1.07838283650667,0.012673137384278
"AT4G19430",-1.15754207940572,0.0145283226043329
"AT3G62455.1",-1.22829835886396,0.0146143086733085
"AT5G11610",1.02002346129768,0.0150331833557678
"AT5G24780",-3.54615083812774,0.015291805730853
"AT4G25010",-1.39673729827696,0.0153099582085601
"AT2G27220",-1.62578317281734,0.0154133821192978
"AT4G16000",1.40438603810223,0.0156913095423966
"AT4G15700",1.35832531848657,0.0160383938376911
"AT1G05300",1.16731179743501,0.0160383938376911
"AT3G05727",1.50801627367405,0.0160383938376911
"AT1G08320",-1.13122564191835,0.0174382978815962
"AT1G30950",-1.17034297979833,0.0176308822699055
"AT1G22370",1.11124674402774,0.0183508431578936
"AT1G15360",-2.54705077718102,0.0187356125605381
"AT4G34600",1.4158044592263,0.0188297868357402
"AT1G02450",-1.34695435560951,0.0198294090416123
"AT1G72140",1.15062862802203,0.0203151387310862
"AT2G04570",-1.5145576108315,0.0222798907721763
"AT4G10560",1.01679662967318,0.0224170757471684
"AT1G19640",-1.72144066051997,0.0230325368443637
"AT1G13245",1.25867225470607,0.0230325368443637
"AT2G32530",-1.52531567053691,0.0241345282257386
"AT5G18080",1.11662955362937,0.024417061962364
"AT5G18050",1.39919668147411,0.0249624923628365
"AT2G21130",-1.03529036019342,0.0251653989439959
"AT1G22890",1.03150690879543,0.0252787332614467
"AT1G10140",1.17180832692642,0.0252787332614467
"AT5G08640",-1.51703007205861,0.0253897181857472
"AT3G51860",-1.08893567528711,0.0262818041587558
"AT4G28560",-1.13137683390713,0.0271622155831654
"AT1G77520",-1.05949616193369,0.0280283762768329
"AT4G24130",-1.16224249874468,0.0292012440225701
"AT2G41810",1.21112574131474,0.0292012440225701
"AT2G25810",-1.11390745110417,0.0294590004986764
"AT4G15670",1.1184648773981,0.0300989392817633
"AT1G32700",1.14879778089606,0.0312822419109119
"AT4G11360",1.03984895477354,0.0316069942424731
"AT5G39330",-1.27995455364303,0.0316116213670732
"AT5G28030",-1.33031866217003,0.0323505166178611
"AT4G38850",1.65079101845676,0.034400493392278
"AT5G04190",1.52295909758009,0.0347236326876561
"AT3G21040.1",-1.37999038264814,0.037025105158145
"AT3G29410",-1.16268242182029,0.0388894708835296
"AT4G23550",1.36364871286116,0.0409075656727623
"AT3G24300",1.0823874609356,0.0416893975219933
"AT2G26150",-1.45568462770482,0.0432196244637415
"AT1G62630",-1.08464198642868,0.0441017944965779
"AT5G53870",1.06098814446139,0.0441017944965779
"AT3G26170",1.22274308370119,0.0441017944965779
"AT4G16590",-2.60728655538394,0.0469125641872836
"AT1G21550",1.65984812305405,0.0485405917463528
"AT3G27500",1.0606172559812,0.0499103174722892
