"","logFC","FDR"
"AT1G69120",-5.50711336341686,2.13163482932218e-09
"AT3G28500",-2.46240079992321,6.20208190099401e-09
"AT5G44620",-1.6720308568935,8.65804164758821e-09
"AT4G35900",-2.58877455685028,8.65804164758821e-09
"AT5G59330",3.02464498098333,8.65804164758821e-09
"AT1G02190",-2.59804365343869,1.22846190407289e-08
"AT5G60910",-2.04879328134458,2.68500136760429e-08
"AT4G34400",-1.19984143680981,4.30953846185674e-08
"AT1G24260",-5.81614670943747,6.50132201647169e-08
"AT3G02310",-5.41625738060176,2.30765099475997e-07
"AT3G54340",-7.32334150605933,2.30765099475997e-07
"AT4G35810",1.99270677617455,2.30765099475997e-07
"AT5G38930",1.86150835610994,2.30765099475997e-07
"AT4G31450",-2.85099956765025,3.73517293206625e-07
"AT2G13550",1.97900508371377,3.99648318916967e-07
"AT1G75120",1.16948789880506,4.52613945773764e-07
"AT5G44630",-2.95622618805075,5.72698864312865e-07
"AT4G18960",-7.232506718657,1.01298000441421e-06
"AT5G15800",-5.05206731394414,1.46819168922841e-06
"AT4G31910",-1.75787102521266,2.98073950154427e-06
"AT1G02065",-1.481307444175,3.16231791273025e-06
"AT5G25970",1.44959365021912,3.6477555518848e-06
"AT1G53160",-2.4700273953356,7.33467111982857e-06
"AT5G01870",1.07678423597194,7.67913132423904e-06
"AT4G22513",2.22778889757947,7.67913132423904e-06
"AT4G31610",-1.53526565504911,8.54190907500374e-06
"AT5G20240",-4.37384932901824,9.57154521717593e-06
"AT2G16210",-3.6228863716077,9.65932608555042e-06
"AT2G02010",1.45774943343783,9.66547295094823e-06
"AT5G47600",-1.81446755178557,1.2106594094681e-05
"AT3G04960",-2.39348518737873,1.43877912205496e-05
"AT3G17010",-4.296594321254,1.45121249132478e-05
"AT5G44480",1.62439113508434,1.98428218868391e-05
"AT5G57720",-4.76763017685267,2.18294975644855e-05
"AT5G47590",-1.90248479389244,2.24378907109928e-05
"AT4G33790",-2.51984989768046,2.24378907109928e-05
"AT5G61850",-1.52495779358387,2.24378907109928e-05
"AT5G64110",1.94054683726601,2.24644310203366e-05
"AT4G24150",-1.719870338649,2.37387362513157e-05
"AT2G30432",-5.44975453593582,2.82383457241573e-05
"AT4G00870",-2.46184854369047,4.03299673676319e-05
"AT5G56300",-2.43559154747289,5.3040329807075e-05
"AT1G69180",-1.8868313526393,5.87383702535669e-05
"AT5G53390",-2.3851525318277,6.09540181491727e-05
"AT4G39480",-1.40997404302257,8.11661707424488e-05
"AT4G21590",-1.68447514610791,8.42838539397903e-05
"AT2G14580",1.59213164952544,0.000112371180149599
"AT5G43580",1.51435501077437,0.000116178394782084
"AT4G15320",1.37550766668269,0.000122776175154891
"AT2G46720",-3.81626585751569,0.000126552067994223
"AT5G60780",2.54234585984596,0.000160281966185128
"AT5G24860",-3.27007242500846,0.000189967089287029
"AT2G45650",-4.83837983904909,0.000191277267131232
"AT3G53310",-1.86850230045282,0.000192426255507464
"AT2G39510",1.1712290153174,0.000196154010832693
"AT5G50790",-4.47838045146854,0.00019721186779981
"AT2G17280",-1.32518337863305,0.000203939426516395
"AT5G24910",-4.03776666911691,0.000218537110088762
"AT5G59390",-3.03918172697367,0.000258239228188711
"AT5G57123",-1.26912382402843,0.000289100680069005
"AT1G55010",1.85455310488553,0.000291393656142836
"AT4G01720",1.07534491276582,0.000303664315904054
"AT2G01520",-2.72358051906692,0.000324022874122935
"AT3G15270",-1.45205953696355,0.000324879744961825
"AT1G58430",-5.7818681619756,0.000384822156167516
"AT3G13662",-4.36600012471925,0.000415023723783174
"AT4G27980",-2.2323922411232,0.000415023723783174
"AT5G09780",-4.9916877196775,0.000430454366090691
"AT4G05200",1.91316271357637,0.000472933248539715
"AT5G28715.1",3.38184727138658,0.000634853204958148
"AT4G16550",-4.24136939105135,0.000645778021782696
"AT3G27025",-1.58346388058444,0.000679698012616631
"AT1G54040",-1.05063377128906,0.000707347679722069
"AT5G37300",-2.51546329225969,0.000707723224693307
"AT4G15480",-2.27185557987834,0.000707723224693307
"AT4G14695",-2.28257397624832,0.000784746772917329
"AT4G25850",-2.17577831831858,0.000803226565663838
"AT2G38940",1.6046060407959,0.000828751490343326
"AT5G16410",1.09154927370501,0.000831240426242554
"AT3G06490",1.6549762602462,0.000849349441168625
"AT5G21950",-1.12469531598743,0.000849349441168625
"AT1G26310",-3.17136573848282,0.000959456256387643
"AT5G52390",-3.16021164998818,0.000962161178739367
"AT5G50200",1.28686468577641,0.00103072852131028
"AT1G10060",-1.5435982518104,0.00105950957651131
"AT5G38940",1.88398431392191,0.001169866623191
"AT4G31690",-1.825734556972,0.001169866623191
"AT1G57750",-4.6152809702517,0.00120487233971477
"AT1G69870",-1.26947927371552,0.00126322758874227
"AT4G32950",1.10424272442447,0.00141136677252067
"AT1G22590",-1.76760710912293,0.00143766880128531
"AT1G29510",1.2118105501379,0.00144784008879236
"AT4G22517",2.61139834032612,0.00146699855985732
"AT1G26800",1.49504447685133,0.00148945449649754
"AT4G22520",2.08605945409769,0.00162365084659804
"AT3G05790",-1.34259204272528,0.00212010054267839
"AT2G43610",1.12366227599712,0.00212010054267839
"AT2G27880",-1.80539491820451,0.00212010054267839
"AT3G10120",1.04212444373165,0.00212010054267839
"AT1G02850",-1.83900371025407,0.00221367804655654
"AT1G19780",1.96814324867018,0.00226601096143748
"AT5G24920",1.21204514744829,0.00233189607244897
"AT5G59670",-1.67651338939936,0.00236385221281674
"AT5G38320",1.15656383642572,0.00247669312193712
"AT2G20870",-3.29452163912771,0.00252275980812746
"AT1G58460",-1.22255150967666,0.00266344622751866
"AT3G10290",1.07075954604586,0.0034885729931866
"AT5G22430",-5.12925675549035,0.0034885729931866
"AT1G14760",1.46004473685651,0.00355682346204088
"AT2G05540",1.20939206512915,0.00382525752773956
"AT4G22485",3.70272303924435,0.0038385705035764
"AT1G03170",-1.07131117881137,0.00397831225538364
"AT3G41979",2.25090124633142,0.0041084275498516
"AT4G11320",-1.03019778881615,0.00419429764682155
"AT4G23680",-1.70069393678723,0.00477240307970467
"AT1G73830",1.12812160923679,0.0048282170996406
"AT3G50230",-1.1019685467705,0.00485190482632808
"AT5G17810",-2.09929218140542,0.00497295648549396
"AT3G62950",1.77874933030131,0.00583258220086301
"AT4G27410",1.38370040475174,0.00611106435095205
"AT4G16880",-1.12062648398526,0.00633641419452763
"AT5G18060",1.78560394795532,0.006516266010787
"AT1G78450",1.33277511032261,0.00676266062728489
"AT3G49790",1.08902629559374,0.00696590244461193
"AT3G62040",1.14628528882232,0.00744815903154231
"AT5G59080",1.05451694568926,0.00749636294733465
